BOX_NO;EVENT_NO;EVENT_YEAR;EVENT_MONTH;EVENT_NAME;NB_DIAPOS;SUB_RANGE;SUB_DEB;SUB_FIN;SUB_NAME
8;9;1981;Juillet;eté à Palavas;19;19;19;19;
8;10;1981;Septembre;camp Armelle;18;18;18;18;
9;1;1981;Septembre;Saint-Saturnin les Apt;11;11;11;11;
9;2;1984;Juillet;Armelle s'installe en Angleterre;16;16;16;16;
9;3;1984;Juillet;angleterre;32;32;32;32;
9;4;1984;Août;vacances Palavas ( août 84 );69;69;69;69;
9;5;1984;Novembre;à Paris;4;4;4;4;
9;6;1985;Janvier;France & Claude à Cherbourg;23;23;23;23;
9;7;1985;Mai;Anniversaire Bertrand;16;16;16;16;
9;8;1984;Décembre;Noêl à Montpellier;33;33;33;33;
9;9;1985;Janvier;Neige à Cherbourg;11;11;11;11;
9;10;1984;Juin;l'Aquitaine;46;46;46;46;
9;11;1986;Septembre;Paquelier & Goube à Cherbourg;3;3;3;3;
9;12;1986;Juillet;vacances Palavas;20;20;20;20;
9;13;1986;;l'Irlande;97;97;97;97;
9;14;1985;Septembre;Jullouville;6;6;6;6;
9;15;1986;Décembre;Noêl à Montpellier;32;32;32;32;
9;16;1986;Juillet;anniversaire d'Armelle;16;16;16;16;
9;17;1986;Septembre;chambre bertrand à Lausane;8;8;8;8;
9;18;1986;Mai;anniversaire de Bertrand;14;14;14;14;
10;1;1986;Août;L'Irelande ( suite ) (98à138);40;40;40;40;
10;2;1986;Mai;échange espagnol;7;7;7;7;
10;3;1986;Mai;Divers (87);10;10;10;10;
10;4;1987;Janvier;Honfleur ( avec l'acceuil );16;16;16;16;
10;5;1987;Juillet;Plouaret;8;8;8;8;
10;6;1985;Février;le Maroc;205;205;205;205;
10;7;1987;Février;vacances d'hiver;23;23;23;23;
10;8;1987;Mars;Paques à Montpellier;25;25;25;25;
10;9;1987;Mai;anniversaire Bertrand , fête des mères &et des pères;24;24;24;24;
10;10;1986;Mai;Neige-anniversaires enfants-fête des mères-;29;29;29;29;
10;11;1986;Juin;départ des Regard de cherbourg;27;27;27;27;
11;1;1985;Mai;Carteret ( avec l'accueil );20;20;20;20;
11;2;1985;Juin;séjour de la corespondante australienne;28;28;28;28;
11;3;1985;Juillet;sentier des douaniers-maison d'hotes-;6;6;6;6;
11;4;1985;Juillet;angleterre;20;20;20;20;
11;5;1985;Avril;Jacques;44;44;44;44;
11;6;1985;Juillet;Nevers;52;52;52;52;
11;7;1985;Août;vacances d'été;71;71;71;71;
11;8;1985;Décembre;Noêl à Montpellier;27;27;27;27;
11;9;1985;Août;croisiere de Bertrand;12;12;12;12;
11;10;1985;Août;Divers (85);31;31;31;31;
11;11;1986;Mai;Iles anglo-normandes;30;1à30;1;30;Guernesey
11;11;1986;;Iles anglo-normandes;36;31à66;31;66;Serk
11;11;1986;Mai;Iles anglo-normandes;42;67à108;67;108;Guernesey
12;1;1987;Juillet;Montpellier-le-vieux;21;21;21;21;
12;2;1987;Juillet;en Dordogne;51;51;51;51;
12;3;1987;Décembre;Noêl à Talant;4;4;4;4;
12;4;1988;Décembre;Divers 88;6;6;6;6;
12;5;1987;Août;mariage Michel;49;49;49;49;
12;6;1987;Septembre;Bertrand & Armelle;16;16;16;16;
12;8;1988;Mai;Paques à la maison-50 ans d'Annie;37;37;37;37;
12;9;1988;Juin;Aurigny en voilier avec Christian;49;49;49;49;
12;10;1988;Juillet;Plouaret;30;30;30;30;
13;1;1983;Juillet;Paques à Montpellier & Ganges;79;79;79;79;
13;2;1983;Juillet;manoirs normands;15;15;15;15;
13;3;1983;Juillet;sortie Armelle;22;22;22;22;
13;4;1983;Juillet;sur le canal du Midi;72;72;72;72;
13;5;1983;Juillet;vacances d'été à Palavas;122;122;122;122;
13;6;1983;Juillet;Divers Cherbourg;23;23;23;23;
13;7;1984;Juillet;Paques à saint-malo;41;41;41;41;
13;8;1984;Juillet;la famille Calvet à Cherbourg;16;16;16;16;
13;9;1984;Juillet;anniversaires Bertrand & Armelle;34;34;34;34;
13;10;1984;Juillet;Saint-vâst la hougue;12;12;12;12;
13;11;1984;Juillet;Escrime Armelle;7;7;7;7;
13;12;1988;Juillet;vacances d'été;5;5;5;5;
14;1;1987;Juin;chez les Lesauvage;6;6;6;6;
14;2;1987;Juin;les Calvet à Cherbourg;8;8;8;8;
14;3;1988;Décembre;Noêl à Montpellier;8;8;8;8;
14;4;1988;Novembre;à Montpellier;27;27;27;27;
14;5;1989;Novembre;Paques à Montpellier;46;46;46;46;
14;6;1989;Mai;anniversaire d'Armelle;16;16;16;16;
